,titles,descriptions,links,yogunlasma,harf_uzunlugu,kelime_sayisi
6,Coronacrisis doet files verdwijnen als sneeuw voor de zon,"De coronacrisis remt de groei van het wegverkeer aanzienlijk, blijkt uit nieuw onderzoek. Op korte termijn betekent dat vooral bijna geen files meer. De schaduwzijde: minder verkeer door een aanhoudende lockdown staat de komende jaren vooral voor een fikse economische crisis.",,0.0,276,41
7,"RIVM: 189 nieuwe sterfgevallen, 188 ziekenhuisopnames",De afgelopen 24 uur zijn er in Nederland 189 meldingen geweest van mensen die zijn overleden aan Covid-19. Ook zijn 188 nieuwe coronagerelateerde ziekenhuisopnames gemeld.,,0.0,171,25
8,"Record: Nederland geeft 5,7 miljard euro aan goede doelen",Giften aan goede doelen zijn in Nederland nog nooit zo hoog geweest. Ook is het percentage van de bevolking dat vrijwilligerswerk doet hoger geworden: 40 procent van de Nederlanders deed in 2018 vrijwilligerswerk. Dit blijkt uit het onderzoek Geven in Nederland van de Vrije Universiteit Amsterdam.,,0.0,298,46
9,Kamerleden 50Plus willen nu toch ook ledenraadpleging over Dales,De Tweede Kamerleden van 50Plus zegden dinsdag nog het vertrouwen op in de voorzitter.,,0.0,86,14
10,Meer twintigers en dertigers omgekomen in verkeer,"In 2019 zijn er in Nederland iets minder mensen in het verkeer om het leven gekomen dan het jaar daarvoor. In 2019 waren dat er 661, 17 minder dan in 2018. Wel stierven er in 2019 iets meer e-bikers.",,0.0,199,39
11,8000 medewerkers zorg besmet: ‘Dit is onze frontlinie’,"Minimaal 8000 zorgmedewerkers zijn besmet (geweest) met het nieuwe coronavirus, blijkt uit cijfers van het RIVM. Vakbonden zijn bezorgd en eisen meer bescherming. ‘Er zijn al medewerkers op de ic terechtgekomen.’",,0.0,212,31
12,Studenten mogen drie maanden langer reizen met ov-kaart,"Studenten die vanwege het coronavirus niet naar hun universiteit of hogeschool kunnen, mogen drie maanden langer blijven reizen met hun ov-studentenkaart. Dat heeft het ministerie van Onderwijs vandaag bekendgemaakt.",,0.0,216,29
13,Gevangenen willen helpen tijdens coronacrisis,Een groep gedetineerden uit de Penitentiaire Inrichting in Zaanstad heeft een brief geschreven aan minister Sander Dekker (Rechtsbescherming) waarin ze aangeven vanuit de gevangenis iets voor de maatschappij te willen betekenen. De brief is ook getekend door enkele bewaarders.,,0.0,277,39
14,Hoe de paasdeal van 50Plus als een kaartenhuis in elkaar stortte,De top van 50Plus kwam op tweede paasdag bijeen om een einde te maken aan onrust over de ambities van voorzitter Geert Dales en de besluitvorming richting de verkiezingen. Nog geen dag later zegde het leeuwendeel van de Kamerleden het vertrouwen in Dales op.,,0.25,258,44
15,Minister Koolmees gaat niet iedereen gelukkig maken,"Ontslagen flexwerkers en gesloten strandtenten mogen hoop koesteren dat de overheid alsnog met extra compensatie komt. Maar de overheid kan niet voor elke ‘sympathieke groep’ een aparte regeling optuigen, waarschuwt minister Wouter Koolmees van Sociale Zaken.",,0.0,259,36
16,Dirk van den Broek: van ponywagen tot supermarktketen,Dirk van den Broek begon als 15-jarige met de verkoop van melk en bouwde daarna een imperium op. Hij overleed woensdag op 96-jarige leeftijd.,,0.0,141,24
17,Meerderheid Kamerleden 50Plus zegt vertrouwen op in voorzitter Dales,Bijna alle Eerste en Tweede Kamerleden van 50Plus zeggen het vertrouwen op in partijvoorzitter Geert Dales. Dat hebben ze dinsdagmiddag in een persbericht laten weten.,,0.0,167,25
18,Hooikoortspatiënten opgepast: komende week veel pollen,"Doordat de berk in bloei staat, zijn er veel pollen in de lucht.",,0.0,64,13
19,Linkse partijen: ‘Bevries alle huren tijdens coronacrisis’,"GroenLinks, SP en PvdA roepen het kabinet op om alle huren in Nederland tijdens de coronacrisis te bevriezen. Ook willen ze dat het kabinet meer uit de kast trekt om te voorkomen dat huurders in geldnood uit huis worden gezet.",,0.0,226,40
0,Helft ouders wil basisscholen weer open na meivakantie,Helft ouders wil basisscholen weer open na meivakantie,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/basisscholen-gesloten-onderzoek/,0.0,54,8
1,Jeugdzorg en Kinderbescherming zien geen toename in meldingen kindermishandeling,Jeugdzorg en Kinderbescherming zien geen toename in meldingen kindermishandeling,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/jeugdzorg-kinderbescherming-geen-toename-kindermishandeling/,0.0,80,9
2,Koningsdagfestival Kingsland verplaatst naar 19 september,Koningsdagfestival Kingsland verplaatst naar 19 september,https://www.linda.nl/nieuws/binnenland//nieuws/koningsdagfestival-kingsland-verplaatst/,0.0,57,6
3,"Asperges, ze zijn er weer: 5 x recepten waar je van uit je plaat(pizza) gaat","Asperges, ze zijn er weer: 5 x recepten waar je van uit je plaat(pizza) gaat",https://www.linda.nl/nieuws/binnenland//advertorial/asperges-5-x-recepten-maggi/,0.0,76,15
4,Politie onderzoekt doodsoorzaak pasgeboren baby in Haaksbergen,Politie onderzoekt doodsoorzaak pasgeboren baby in Haaksbergen,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/politie-doodsoorzaak-pasgeboren-baby-haaksbergen/,0.0,62,7
5,#tochdichtbij: Klikkie wil 100.000 mensen samenbrengen met foto-actie,#tochdichtbij: Klikkie wil 100.000 mensen samenbrengen met foto-actie,https://www.linda.nl/nieuws/binnenland//nieuws/klikkie-foto-actie-corona/,0.0,69,8
6,Waarom 'The Voice of Holland' niet gewoon 'The Voice' is genoemd,Waarom 'The Voice of Holland' niet gewoon 'The Voice' is genoemd,https://www.linda.nl/nieuws/binnenland//nieuws/tv/the-voice-of-holland-benaming/,0.0,64,11
7,Van kraaienpootjes tot wallen: dit zeggen verschillende soorten rimpels over jou,Van kraaienpootjes tot wallen: dit zeggen verschillende soorten rimpels over jou,https://www.linda.nl/nieuws/binnenland//advertorial/rimpels-betekenis-nivea-q10-power/,0.0,80,11
8,Coronacrisis maakt slachtoffers van huiselijk geweld dubbel zo kwetsbaar voor geweld Ã©n virus,Coronacrisis maakt slachtoffers van huiselijk geweld dubbel zo kwetsbaar voor geweld Ã©n virus,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/vrouwen-slachtoffer-huiselijk-geweld-kwetsbaar-coronavirus/,0.0,94,13
9,Storing bij Marktplaats zorgt voor veel klachten bij gebruikers,Storing bij Marktplaats zorgt voor veel klachten bij gebruikers,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/storing-marktplaats-duizenden-accounts-geblokkeerd/,0.0,63,9
10,Harvard-wetenschappers: tot 2022 elk kwartaal een lockdown om virus te beheersen,Harvard-wetenschappers: tot 2022 elk kwartaal een lockdown om virus te beheersen,https://www.linda.nl/nieuws/binnenland//nieuws/gezond/harvard-wetenschappers-kwartaal-lockdown-coronavirus-beheersen/,0.0,80,11
11,"Dit zijn de karakters uit 'The Willoughbys', dÃ© familiefilm van dit moment","Dit zijn de karakters uit 'The Willoughbys', dÃ© familiefilm van dit moment",https://www.linda.nl/nieuws/binnenland//advertorial/animatie-failiefilm-netflix-the-willoughbys/,0.0,75,12
12,Digitale kleedjesmarkt en thuistoosten: Koningsdag verandert in Woningsdag,Digitale kleedjesmarkt en thuistoosten: Koningsdag verandert in Woningsdag,https://www.linda.nl/nieuws/binnenland//nieuws/koningsnieuws/koningsdag-woningsdag-online-vrijmarkt-thuistoost-koning/,0.0,74,8
13,"Zes Nederlanders teruggehaald uit Marokko, zangeres Anouk zit niet op vlucht","Zes Nederlanders teruggehaald uit Marokko, zangeres Anouk zit niet op vlucht",https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/zes-nederlanders-vlucht-marokko-anouk/,0.0,76,11
14,Liveblog dinsdag 14 april: grote landen buigen zich gezamenlijk over crisis,Liveblog dinsdag 14 april: grote landen buigen zich gezamenlijk over crisis,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/liveblog-coronavirus-dinsdag-14-april/,0.0,75,11
15,Al ruim 70.000 euro voor Rode Kruis na twee dagen corona-editie Serious Request,Al ruim 70.000 euro voor Rode Kruis na twee dagen corona-editie Serious Request,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/serious-request-rode-kruis-corona/,-0.3333333333333333,79,13
16,Slecht nieuws voor koopjesjagers: Tweede Kamer wil sale tijdelijk verbieden,Slecht nieuws voor koopjesjagers: Tweede Kamer wil sale tijdelijk verbieden,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/uitverkoop-verbieden-sale-tweede-kamer/,0.0,75,10
0,"Noodkreet: ‘1,5 metereconomie onwerkbaar voor horeca’","Horecabedrijven stellen dat de 1,5 metereconomie zoals voorgesteld door premier Rutte onwerkbaar is. Daarvoor waarschuwt Koninklijke Horeca Nederland (KHN). De brancheorganisatie wijst erop dat het voor flink wat bedrijven onmogelijk is om binnen de voorwaarden rendabel te kunnen zijn.",,0.0,286,39
1,D66 betekent in tijden van corona bijster weinig voor haar kiezers,Özcan Akyol schrijft drie keer per week over wat hem bezighoudt.,,0.0,64,11
2,"Brabants dorp neemt afscheid van Guus (29): ‘Dag, tot ooit’","Een lang lint mensen stond woensdagmiddag langs de kant van de weg om Guus Konings (29) uit het Brabantse Beek en Donk, die vorige week overleed aan het coronavirus, een laatste eer te bewijzen.",,0.0,194,34
3,Kabinet volgt België en Duitsland niet met breed gebruik mondkapjes,"In tegenstelling tot België en Duitsland noemt Nederland het breed inzetten van mondkapjes ‘niet wenselijk en onnodig’. Minister Hugo de Jonge (Volksgezondheid) herhaalde vanavond op de persconferentie het Nederlandse standpunt. Vanmiddag lieten beide buurlanden weten het gebruik van mondkapjes ‘dringend’ aan te bevelen, maar dat vindt De Jonge niet nodig.",,0.0,358,50
4,Het coronanieuws van woensdag 15 april: teruglezen in één minuut,De stroom aan nieuwsberichten over het coronavirus is amper bij te benen. In dit artikel brengen we het belangrijkste nieuws van vandaag in een kort overzicht.,,0.0,159,26
5,Wildwest in mondkapjes-handel: ‘Die hele fabriek bestond niet’,"Heel de wereld wil mondkapjes. De handel daarin is wildwest geworden met niet-bestaande fabrieken, vervalste certificaten, aanbetalingen die verdwijnen en onbegrip tussen ondernemers en ambtenaren.",,0.0,197,25
6,"Arts op de ic doet verslag: ‘Ik zie het vaker, patiënten die accepteren dat ze ziek zijn’",Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 22: ‘Wanneer kunnen we afschalen?’   Lees alle voorgaande afleveringen hier terug.,,0.0,318,49
7,Dit is de grootste snurker van 2020: ‘Ik gun mijn vrouw ook een goede nachtrust’,"Mensen kunnen er lacherig over doen terwijl anderen zich er intens voor schamen. Feit is dat er nog altijd een groot taboe rust op snurken. En dat terwijl Nederland ruim vier miljoen chronische snurkers telt. Om te laten zien dat snurken ‘dus‘ heel normaal is, wordt de grootste snurker van het jaar-wedstrijd gehouden. De winnaar van dit jaar, die vandaag bekend werd gemaakt, schaamt zich in ieder geval nergens voor: ,,Wat ik wel vervelend vind is dat mijn omgeving er last van heeft.”",,0.0,488,83
8,"Frank zit in quarantaine: Mijn kind spreekt in geheimtaal ‘reipap si po, apap’",Net als veel Nederlanders blijft redacteur Frank Poorthuis thuis. Frank zit in de risicogroep. Verslag van dag 34. Lees alle eerdere afleveringen hier terug.,,0.0,157,24
9,"RIVM: 189 nieuwe sterfgevallen, maar ‘slechts’ 188 nieuwe ziekenhuisopnames","Het aantal meldingen van personen die als gevolg van corona zijn overleden is de afgelopen 24 uur gestegen met 189. Daarnaast kwamen er 188 meldingen binnen van mensen die in het ziekenhuis zijn opgenomen (geweest). Het, vergeleken met de afgelopen dagen, hoge aantal doden komt doordat veel sterfgevallen pas na het paasweekend, dus gisteren, zijn gerapporteerd.",,0.0,363,56
10,"Winkels gaan weer open, omzet stijgt: ‘Winkelen kan ook weer’","Mode- en schoenenwinkels openen de deuren weer. De omzet stijgt, de consument durft de deur weer uit. ,,We zien dat veel winkeliers oplossingen hebben bedacht voor de anderhalve-metereconomie dus wij durven nu ook te zeggen: winkelen kan weer”, zegt directeur Jan Meerman van brancheorganisatie INretail.",,0.0,304,45
11,Bedreigd homokoppel wil voorlopig geen bemiddelingsgesprek met belager,"Het homostel dat in Amsterdam werd bedreigd en uitgescholden door een groepje jongeren, staat nog niet open voor een ‘bemiddelingsgesprek’ met de 15-jarige verdachte die gisteren werd vrijgelaten. De advocaat van die jongen hoopt vervolging te kunnen voorkomen door een bemiddelingsgesprek aan te bieden.",,0.0,304,44
12,Mag het noorden als eerste uit de lockdown?,"Met een opvallend lage infectiegraad en zonder overbelaste ziekenhuizen kan het noorden mogelijk eerder uit de ‘lockdown’ dan de rest van het land, stellen experts. Het RIVM en het kabinet houden regionale versoepelingen open, een Groningse hoogleraar noemt de variant ‘interessant'.",,0.0,283,41
13,‘Kabinet negeerde jarenlang adviezen over pandemie-aanpak’,"De Nederlandse regering heeft sinds de ebola-uitbraak in West-Afrika in 2014 in drie opeenvolgende adviezen de raad gekregen kennis en kunde over pandemieën te bundelen en internationale samenwerking te zoeken. Maar actie bleef uit, blijkt uit een reconstructie van dagblad Trouw.",,0.0,280,41
14,"Geloof wat je wilt, 5G-gekkies. Maar blijf met je poten van zendmasten af",Nynke de Jong schrijft drie keer per week over wat haar bezighoudt.,,0.0,67,12
15,8000 zorgmedewerkers besmet: ‘Ik breng mijn gezin in gevaar’,"Minimaal 8000 zorgmedewerkers zijn besmet (geweest) met het nieuwe coronavirus, blijkt uit cijfers van het RIVM. Vakbonden zijn bezorgd en eisen meer bescherming. ,,Er zijn al medewerkers op de ic terechtgekomen.’’",,0.0,214,31
16,Politie geeft beelden brandstichter zendmast vrij,"De politie heeft via het tv-programma Opsporing Verzocht videobeelden vrijgegeven van een man die op vrijdagavond 10 april brand stichtte bij een zendmast op een bedrijventerrein aan de Koningsweg in Groningen. Te zien is hoe hij uit een vat vloeistof over de onderzijde van de mast giet, die aansteekt en zich vervolgens snel uit de voeten maakt. De afgelopen week is al dertien keer brand gesticht bij zendmasten.",,0.0,415,68
17,Twee 18-jarigen vast voor woningoverval bij 93-jarige vrouw in Drachten,De politie in Friesland heeft dinsdag twee 18-jarige verdachten opgepakt op verdenking van een woningoverval in oktober. Tijdens de overval werd in een huis in Drachten een 93-jarige vrouw mishandeld. Het programma Opsporing Verzocht besteedde vorige week aandacht aan de zaak.,,0.0,277,41
18,Het coronanieuws van dinsdag 14 april: bijlezen in één minuut,De stroom aan nieuwsberichten over het coronavirus is amper bij te benen. In dit artikel brengen we het belangrijkste nieuws van vandaag in een kort overzicht.,,0.0,159,26
19,"Arts op de ic doet verslag: ‘Corona is frustrerend, maar ook interessante puzzel’",Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 21: ‘Vasthouden aan positieve momenten’.  Lees alle voorgaande afleveringen hier terug.,,0.0,323,49
20,Gevangenen willen helpen tijdens coronacrisis: ‘Wij kunnen iets voor de maatschappij betekenen’,Een groep gedetineerden uit de Penitentiaire Inrichting in Zaanstad heeft een brief geschreven aan minister Sander Dekker (Rechtsbescherming) waarin ze aangeven vanuit de gevangenis iets voor de maatschappij te willen betekenen. De brief is ook getekend door enkele bewaarders.,,0.0,277,39
21,Ruzie om van alles en niets? Zo doorbreek je de gedragspatronen,"Draaien irritaties met je partner steeds op hetzelfde uit - boos zijn, soms zelfs met servies gooien en minder vaak seks? Een ingesleten patroon is lastig te veranderen. Journalist Yildiz Celie gaat in de leer bij relatietherapeut Jean-Pierre van de Ven.",,0.0,254,41
22,Aantal patiënten op intensive care daalt met 35 naar 1303,Het aantal coronapatiënten op de intensive care is met 35 gedaald naar 1303. Op maandag waren het er 1338. Dat maakte het Landelijk Coördinatiecentrum Patiënten Spreiding (LCPS) dinsdag bekend.,,0.0,193,29
23,15-jarige die homo’s uitschold mag weer naar huis: ‘Maar twee weken niet op straat hangen’,"De 15-jarige jongen die was opgepakt omdat hij homo’s in Amsterdam had uitgescholden en bedreigd, hoeft van de rechter niet terug de jeugdgevangenis in. Hij mag naar huis, maar mag twee weken lang niet op straat rondhangen, bevestigt zijn advocaat Anis Boumanjal.",,0.0,263,42
24,Politie vraagt aandacht voor branden zendmasten in Opsporing Verzocht,De politie tast nog in het duister wie er verantwoordelijk is voor de branden in zendmasten de afgelopen dagen. In Opsporing Verzocht wordt dinsdagavond aandacht gevraagd voor de brandstichtingen. De uitzending begint om 20.30 uur op NPO 1.,,0.0,240,38
25,"Frank zit in quarantaine: Weet je nog, lieffie, voor corona? Ja, en ik mis het ook",Net als veel Nederlanders blijft redacteur Frank Poorthuis thuis. Frank zit in de risicogroep. Verslag van dag 33. Lees alle eerdere afleveringen hier terug.,,0.0,157,24
26,Nina (57) bleef voor de eerste keer bij Kees (56) slapen en trok gelijk bij hem in,In de rubriek BV de Liefde vertellen lezers openlijk en anoniem over hun relatie. Nina (57) wilde geen vriend. Toen kwam ze Kees (56) tegen en voelde ze vlinders in haar buik. Nu zijn ze samen in coronaquarantaine.,,0.0,214,38
27,‘Rouwband’ om eik als wapen tegen processierups: hier willen ze de jeuk voor zijn,"Het oogt als een rouwband, maar wie weet pakt landbouwplastic rondom een eik dit jaar uit als probaat middel tegen de vermaledijde processierups.",,0.0,145,23
28,RIVM: 122 gemelde sterfgevallen en 210 ziekenhuisopnames,Het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) laat weten dat er de afgelopen 24-uur melding is gedaan van 122 nieuwe sterfgevallen ten gevolge van het coronavirus. Dat is een stijging ten opzichte van een dag eerder. Gisteren werden 86 doden gemeld. Het aantal ziekenhuisopnames is iets hoger dan de afgelopen dagen. Er worden 210 nieuwe opnames gemeld.,,0.0,364,57
29,Bewoners van Ermelose woning wisten van niets: ‘Er ligt een stoffelijk overschot in uw voortuin’,",,Er ligt een stoffelijk overschot in uw voortuin.’’ Die mededeling van de politie kwam vanochtend als een volslagen verrassing voor de bewoners van een huis aan de Dokter Holtropstraat in Ermelo. Ze wisten nog van niks.",,0.0,220,36
0,Brabant zet kanjers in het licht,Het provinciebestuur toont haar steun aan alle helden die in deze bijzondere tijd een bewonderingswaardige rol spelen.,https://www.brabant.nl/actueel/nieuws/bestuur/2020/brabant-zet-kanjers-in-het-licht,0.0,118,17
1,Lancering online leeromgeving ‘Brabant Leert’,Via dit online platform kunnen Brabanders zich tijdens de crisis blijven ontwikkelen.,https://www.brabant.nl/actueel/nieuws/economie-en-werk/2020/lancering-online-leeromgeving-brabant-leert,0.0,85,12
2,Vuelta niet in augustus,La Vuelta vindt niet in augustus van dit jaar plaats.,https://www.brabant.nl/actueel/nieuws/bestuur/2020/vuelta-niet-in-augustus,0.0,53,10
3,Lancering online leeromgeving 'Brabant Leert',Via het platform 'Brabant Leert' zijn verschillende online cursussen beschikbaar. ,https://www.brabant.nl/actueel/nieuws/economie-en-werk/2020/lancering-online-leeromgeving-brabant-leert,0.0,82,10
4,"Wederom veel Brabantse verkeersdoden: ""Dit is flink schrikken""",Het aantal verkeersdoden in Noord-Brabant is volgens het CBS dit jaar licht gedaald van 150 naar 142. ,https://www.brabant.nl/actueel/nieuws/verkeer-en-vervoer/2020/wederom-veel-brabantse-verkeersdoden,0.0,102,17
5,Cultuurfonds Noord-Brabant ondersteunt 61 projecten,61 projecten voor cultuur en natuur ontvangen een bedrag van in totaal € 270.000.,https://www.brabant.nl/actueel/nieuws/kunst-cultuur-en-erfgoed/2020/cultuurfonds-noord-brabant-ondersteunt-projecten,0.0,81,14
6,Stiller asfalt en rotonde voor N279 Asten - Meijel,De kruising van de N279 met de Buizerdweg/Meijelseweg wordt een rotonde.,https://www.brabant.nl/actueel/nieuws/verkeer-en-vervoer/2020/stiller-asfalt-en-rotonde-voor-n279-asten---meijel,0.0,72,11
7,Hoe denken Brabanders over het coronavirus,Een breed uitgevoerd onderzoek in Brabant geeft inzicht in hoe Brabanders de aanwezigheid van het coronavirus ervaren.,https://www.brabant.nl/actueel/nieuws/bestuur/2020/hoe-denken-brabanders-over-het-coronavirus,0.0,118,17
8,Open oproep Buurtcultuurprojecten tijdens lockdown,"Woningcorporaties, verenigingen, wijkwerkers, welzijns- en zorginstellingen kunnen cultuurprojecten indienen. ",https://www.brabant.nl/actueel/nieuws/kunst-cultuur-en-erfgoed/2020/open-oproep-buurtcultuurprojecten-tijdens-lockdown,0.0,110,9
9,Activatieprogramma La Vuelta Holanda aangepast,"In 2020 komt La Vuelta, een van de drie grootste wielerrondes van de wereld, naar de provincies Brabant en Utrecht. ",https://www.brabant.nl/actueel/nieuws/bestuur/2020/activatieprogramma-la-vuelta-holanda-aangepast,0.0,116,20
